Gene_Name,ENSEMBLID,Name_HUMAN,Drug_Name,Affinity,Class
MST1R,ENSP00000296474,RON_HUMAN,foretinib,8.522878745,2
STK3,ENSP00000429744,STK3_HUMAN,staurosporine,8.519674604,2
CHEK1,ENSP00000388648,CHK1_HUMAN,staurosporine,8.511760299,2
SRC,ENSP00000362680,SRC_HUMAN,saracatinib,8.50965048,2
TEK,ENSP00000369375,TIE2_HUMAN,foretinib,8.508638306,2
TXK,ENSP00000264316,TXK_HUMAN,dasatinib,8.504453019,2
FLT1,ENSP00000282397,VGFR1_HUMAN,tivozanib,8.499565488,2
EPHA2,ENSP00000351209,EPHA2_HUMAN,tivozanib,8.499565488,2
SBK1,ENSP00000343248,SBK1_HUMAN,staurosporine,8.494850022,2
TAOK1,ENSP00000261716,TAOK1_HUMAN,staurosporine,8.473366087,2
NTRK3,ENSP00000354207,NTRK3_HUMAN,foretinib,8.468521082999999,2
NUAK1,ENSP00000261402,NUAK1_HUMAN,staurosporine,8.467528997,2
PLK4,ENSP00000270861,PLK4_HUMAN,foretinib,8.455931956,2
DAPK2,ENSP00000261891,DAPK2_HUMAN,staurosporine,8.455002193,2
DDR1,ENSP00000427552,DDR1_HUMAN,imatinib,8.451853804,2
EPHA2,ENSP00000351209,EPHA2_HUMAN,foretinib,8.443697498999999,2
DDR2,ENSP00000356899,DDR2_HUMAN,foretinib,8.443697498999999,2
CDK7,ENSP00000256443,CDK7_HUMAN,foretinib,8.431798276,2
MKNK2,ENSP00000250896,MKNK2_HUMAN,foretinib,8.431798276,2
CAMK2G,ENSP00000319060,KCC2G_HUMAN,staurosporine,8.427141585,2
PKN1,ENSP00000343325,PKN1_HUMAN,staurosporine,8.424757351,2
DDR1,ENSP00000427552,DDR1_HUMAN,dasatinib,8.423074458,2
FRK,ENSP00000476145,FRK_HUMAN,foretinib,8.420216403,2
FLT1,ENSP00000282397,VGFR1_HUMAN,foretinib,8.420216403,2
MINK1,ENSP00000347427,MINK1_HUMAN,staurosporine,8.418845767999999,2
BRSK2,ENSP00000371614,BRSK2_HUMAN,staurosporine,8.412246098999999,2
BTK,ENSP00000483570,BTK_HUMAN,dasatinib,8.411332332,2
EPHB2,ENSP00000363763,EPHB2_HUMAN,foretinib,8.408935393,2
DDR2,ENSP00000356899,DDR2_HUMAN,tivozanib,8.408935393,2
SIK1,ENSP00000270162,SIK1_HUMAN,dasatinib,8.408935393,2
MAP4K5,ENSP00000013125,M4K5_HUMAN,foretinib,8.397940009,2
NTRK2,ENSP00000277120,NTRK2_HUMAN,foretinib,8.387216143,2
YES1,ENSP00000462468,YES_HUMAN,saracatinib,8.380211242,2
PTK6,ENSP00000442460,PTK6_HUMAN,foretinib,8.366531543999999,2
KIT,ENSP00000288135,KIT_HUMAN,dasatinib,8.36336325,2
PRKCD,ENSP00000378217,KPCD_HUMAN,staurosporine,8.361672872,2
EGFR,ENSP00000275493,EGFR_HUMAN,lapatinib,8.361121015,2
MINK1,ENSP00000347427,MINK1_HUMAN,bosutinib,8.354461507,2
KDR,ENSP00000263923,VGFR2_HUMAN,linifanib,8.34953704,2
PDGFRA,ENSP00000257290,PGFRA_HUMAN,foretinib,8.346787486,2
IRAK4,ENSP00000390651,IRAK4_HUMAN,staurosporine,8.346496297,2
SIK1,ENSP00000270162,SIK1_HUMAN,staurosporine,8.32758883,2
CAMK2B,ENSP00000379098,KCC2B_HUMAN,staurosporine,8.323378706,2
PRKCG,ENSP00000263431,KPCG_HUMAN,staurosporine,8.322966467999999,2
NTRK1,ENSP00000431418,NTRK1_HUMAN,foretinib,8.318758763,2
CSF1R,ENSP00000286301,CSF1R_HUMAN,staurosporine,8.314555132,2
BMP2K,ENSP00000334836,BMP2K_HUMAN,staurosporine,8.311807407,2
MAP2K3,ENSP00000345083,MP2K3_HUMAN,staurosporine,8.301029996,2
TNIK,ENSP00000399511,TNIK_HUMAN,staurosporine,8.292551011,2
BRSK1,ENSP00000310649,BRSK1_HUMAN,staurosporine,8.2919816,2
CAMK1D,ENSP00000478874,KCC1D_HUMAN,staurosporine,8.290903981,2
ROCK1,ENSP00000382697,ROCK1_HUMAN,staurosporine,8.288160888,2
CSK,ENSP00000220003,CSK_HUMAN,dasatinib,8.281710244,2
DAPK3,ENSP00000442973,DAPK3_HUMAN,staurosporine,8.273423212,2
STK35,ENSP00000370891,STK35_HUMAN,cediranib,8.26760624,2
BLK,ENSP00000259089,BLK_HUMAN,foretinib,8.26760624,2
KIT,ENSP00000288135,KIT_HUMAN,axitinib,8.266116535,2
TSSK1B,ENSP00000375081,TSSK1_HUMAN,staurosporine,8.255651194,2
TAOK3,ENSP00000376317,TAOK3_HUMAN,staurosporine,8.253296481,2
PRKX,ENSP00000262848,PRKX_HUMAN,staurosporine,8.252129449,2
CSF1R,ENSP00000286301,CSF1R_HUMAN,linifanib,8.24533739,2
DYRK1A,ENSP00000381932,DYR1A_HUMAN,staurosporine,8.23837516,2
MAP3K9,ENSP00000451263,M3K9_HUMAN,staurosporine,8.236189878,2
TSSK2,ENSP00000382544,TSSK2_HUMAN,staurosporine,8.229530277,2
NTRK1,ENSP00000431418,NTRK1_HUMAN,staurosporine,8.227923159,2
STK33,ENSP00000416750,STK33_HUMAN,staurosporine,8.225124577999999,2
ULK3,ENSP00000400312,ULK3_HUMAN,staurosporine,8.22326477,2
PDGFRA,ENSP00000257290,PGFRA_HUMAN,tivozanib,8.222202243,2
LCK,ENSP00000337825,LCK_HUMAN,foretinib,8.22184875,2
MELK,ENSP00000298048,MELK_HUMAN,staurosporine,8.211806532,2
NTRK3,ENSP00000354207,NTRK3_HUMAN,staurosporine,8.209932352000001,2
EPHA1,ENSP00000275815,EPHA1_HUMAN,dasatinib,8.209403384,2
AURKA,ENSP00000216911,AURKA_HUMAN,tozasertib,8.209342127000001,2
PIM1,ENSP00000362608,PIM1_HUMAN,staurosporine,8.2082629,2
EPHB3,ENSP00000332118,EPHB3_HUMAN,dasatinib,8.207845803,2
EPHA1,ENSP00000275815,EPHA1_HUMAN,foretinib,8.207608311,2
ABL2,ENSP00000427562,ABL2_HUMAN,tozasertib,8.202088318,2
EPHA6,ENSP00000374323,EPHA6_HUMAN,tivozanib,8.202040356,2
PRKD3,ENSP00000368356,KPCD3_HUMAN,staurosporine,8.198947146,2
PRKDC,ENSP00000313420,PRKDC_HUMAN,torin1,8.197910742000001,2
PDGFRB,ENSP00000261799,PGFRB_HUMAN,staurosporine,8.196594768999999,2
TLK2,ENSP00000316512,TLK2_HUMAN,staurosporine,8.187867718,2
MAP4K4,ENSP00000343658,M4K4_HUMAN,bosutinib,8.185180467999999,2
EPHA5,ENSP00000480763,EPHA5_HUMAN,foretinib,8.180456064,2
RET,ENSP00000347942,RET_HUMAN,cediranib,8.177540276,2
ABL1,ENSP00000361423,ABL1_HUMAN,tivozanib,8.177421119,2
ALK,ENSP00000373700,ALK_HUMAN,staurosporine,8.175220864,2
PKN2,ENSP00000359552,PKN2_HUMAN,staurosporine,8.168696983,2
IKBKE,ENSP00000464030,IKKE_HUMAN,staurosporine,8.166939127000001,2
TBK1,ENSP00000329967,TBK1_HUMAN,staurosporine,8.166675531000001,2
GAK,ENSP00000314499,GAK_HUMAN,bosutinib,8.164877073,2
MAP3K11,ENSP00000309597,M3K11_HUMAN,staurosporine,8.163951208,2
FLT3,ENSP00000241453,FLT3_HUMAN,linifanib,8.159807261000001,2
KDR,ENSP00000263923,VGFR2_HUMAN,sunitinib,8.159168879,2
PDGFRB,ENSP00000261799,PGFRB_HUMAN,linifanib,8.157976693,2
FLT4,ENSP00000261937,VGFR3_HUMAN,cediranib,8.155711777,2
GRK7,ENSP00000264952,GRK7_HUMAN,staurosporine,8.154031058,2
RPS6KB2,ENSP00000308413,KS6B2_HUMAN,staurosporine,8.15365845,2
RET,ENSP00000347942,RET_HUMAN,sunitinib,8.153003694,2
CDKL5,ENSP00000369325,CDKL5_HUMAN,alvocidib,8.148741651,2
GAK,ENSP00000314499,GAK_HUMAN,erlotinib,8.13840554,2
DAPK1,ENSP00000386135,DAPK1_HUMAN,staurosporine,8.13199821,2
MTOR,ENSP00000354558,MTOR_HUMAN,torin1,8.121887507,2
TAOK2,ENSP00000310094,TAOK2_HUMAN,staurosporine,8.120185889,2
DYRK1B,ENSP00000469863,DYR1B_HUMAN,staurosporine,8.118397866,2
ROS1,ENSP00000357494,ROS1_HUMAN,staurosporine,8.102288597000001,2
AURKB,ENSP00000313950,AURKB_HUMAN,staurosporine,8.102182638,2
ULK1,ENSP00000324560,ULK1_HUMAN,staurosporine,8.099849328,2
MAP2K5,ENSP00000178640,MP2K5_HUMAN,bosutinib,8.086186148,2
MAP4K3,ENSP00000263881,M4K3_HUMAN,staurosporine,8.086186148,2
SIK2,ENSP00000305976,SIK2_HUMAN,dasatinib,8.084312627000001,2
GAK,ENSP00000314499,GAK_HUMAN,dasatinib,8.084226548,2
GSK3B,ENSP00000324806,GSK3B_HUMAN,enzastaurin,8.080921907999999,2
PAK4,ENSP00000469413,PAK4_HUMAN,staurosporine,8.075618365,2
FLT1,ENSP00000282397,VGFR1_HUMAN,sunitinib,8.075429547999999,2
PRKD1,ENSP00000333568,KPCD1_HUMAN,staurosporine,8.070325502000001,2
MAP4K4,ENSP00000343658,M4K4_HUMAN,staurosporine,8.062584515,2
AURKB,ENSP00000313950,AURKB_HUMAN,barasertib,8.059336738999999,2
PDK1,ENSP00000376352,PDK1_HUMAN,staurosporine,8.054320869,2
PRKAA1,ENSP00000346148,AAPK1_HUMAN,staurosporine,8.05259601,2
PRKACG,ENSP00000366488,KAPCG_HUMAN,staurosporine,8.05242356,2
PRKCE,ENSP00000306124,KPCE_HUMAN,enzastaurin,8.050609993,2
BMP2K,ENSP00000334836,BMP2K_HUMAN,sunitinib,8.049782084,2
SGK1,ENSP00000356832,SGK1_HUMAN,staurosporine,8.045757491,2
LYN,ENSP00000428924,LYN_HUMAN,foretinib,8.040958608,2
MERTK,ENSP00000295408,MERTK_HUMAN,staurosporine,8.035651892,2
MAP2K1,ENSP00000302486,MP2K1_HUMAN,staurosporine,8.035057161000001,2
CLK2,ENSP00000357345,CLK2_HUMAN,staurosporine,8.02823033,2
CDC42BPB,ENSP00000355237,MRCKB_HUMAN,staurosporine,8.023885691,2
PAK3,ENSP00000353864,PAK3_HUMAN,staurosporine,8.021058102000001,2
KIT,ENSP00000288135,KIT_HUMAN,cediranib,8.012652916,2
CSF1R,ENSP00000286301,CSF1R_HUMAN,tivozanib,8.012411834,2
ERBB2,ENSP00000269571,ERBB2_HUMAN,lapatinib,8.008782016,2
EGFR,ENSP00000275493,EGFR_HUMAN,vandetanib,8.006561936,2
FGFR2,ENSP00000410294,FGFR2_HUMAN,cediranib,8.005462974,2
RIPK2,ENSP00000220751,RIPK2_HUMAN,saracatinib,8.004798883,2
PDGFRA,ENSP00000257290,PGFRA_HUMAN,linifanib,8.002436572999999,2
FLT1,ENSP00000282397,VGFR1_HUMAN,brivanib,8.0,2
MUSK,ENSP00000363571,MUSK_HUMAN,linifanib,8.0,2
BRAF,ENSP00000288602,BRAF_HUMAN,vemurafenib,7.999565487999999,2
DDR2,ENSP00000356899,DDR2_HUMAN,crizotinib,7.999565487999999,2
SRMS,ENSP00000217188,SRMS_HUMAN,vemurafenib,7.999565487999999,2
EPHB4,ENSP00000350896,EPHB4_HUMAN,tivozanib,7.997600341,2
EPHA3,ENSP00000337451,EPHA3_HUMAN,tivozanib,7.997600341,2
EPHB1,ENSP00000381097,EPHB1_HUMAN,tivozanib,7.997600341,2
ABL2,ENSP00000427562,ABL2_HUMAN,tivozanib,7.992647226,2
RET,ENSP00000347942,RET_HUMAN,sorafenib,7.991362432000001,2
MYLK,ENSP00000353452,MYLK_HUMAN,staurosporine,7.98947301,2
PTK6,ENSP00000442460,PTK6_HUMAN,dasatinib,7.9860719,2
GAK,ENSP00000314499,GAK_HUMAN,gefitinib,7.975671752,2
ABL2,ENSP00000427562,ABL2_HUMAN,bosutinib,7.974610926,2
MAP2K5,ENSP00000178640,MP2K5_HUMAN,barasertib,7.974520657999999,2
PIM2,ENSP00000365692,PIM2_HUMAN,staurosporine,7.970570649,2
CDK9,ENSP00000362361,CDK9_HUMAN,alvocidib,7.970172932,2
ABL1,ENSP00000361423,ABL1_HUMAN,axitinib,7.969605167999999,2
EPHB6,ENSP00000481994,EPHB6_HUMAN,crizotinib,7.959974647999999,2
DDR1,ENSP00000427552,DDR1_HUMAN,vandetanib,7.958607315,2
TNNI3K,ENSP00000322251,TNI3K_HUMAN,dasatinib,7.958607315,2
KIT,ENSP00000288135,KIT_HUMAN,tivozanib,7.952969482,2
PTK2B,ENSP00000380638,FAK2_HUMAN,staurosporine,7.952228186,2
TNK2,ENSP00000371341,ACK1_HUMAN,dasatinib,7.943422513,2
MINK1,ENSP00000347427,MINK1_HUMAN,dovitinib,7.939078152,2
PDGFRB,ENSP00000261799,PGFRB_HUMAN,dovitinib,7.930485325,2
PRKG1,ENSP00000363092,KGP1_HUMAN,staurosporine,7.930308541,2
EPHB1,ENSP00000381097,EPHB1_HUMAN,foretinib,7.920818754,2
PRKAA2,ENSP00000360290,AAPK2_HUMAN,staurosporine,7.920818754,2
MAP2K1,ENSP00000302486,MP2K1_HUMAN,foretinib,7.920818754,2
KDR,ENSP00000263923,VGFR2_HUMAN,foretinib,7.920818754,2
EPHB4,ENSP00000350896,EPHB4_HUMAN,foretinib,7.920818754,2
AURKC,ENSP00000302898,AURKC_HUMAN,foretinib,7.920818754,2
MET,ENSP00000317272,MET_HUMAN,crizotinib,7.918853952999999,2
AXL,ENSP00000301178,UFO_HUMAN,staurosporine,7.918294086,2
SRMS,ENSP00000217188,SRMS_HUMAN,dasatinib,7.915309356,2
LTK,ENSP00000263800,LTK_HUMAN,crizotinib,7.913787554,2
FGR,ENSP00000363117,FGR_HUMAN,staurosporine,7.903156716,2
SIK3,ENSP00000364449,SIK3_HUMAN,staurosporine,7.902881626,2
ABL1,ENSP00000361423,ABL1_HUMAN,imatinib,7.901881522999999,2
PDGFRA,ENSP00000257290,PGFRA_HUMAN,cediranib,7.8961559710000015,2
PLK4,ENSP00000270861,PLK4_HUMAN,tozasertib,7.89357397,2
CSF1R,ENSP00000286301,CSF1R_HUMAN,sunitinib,7.890917146,2
MAP4K5,ENSP00000013125,M4K5_HUMAN,bosutinib,7.888292628999999,2
STK32A,ENSP00000381535,ST32A_HUMAN,staurosporine,7.886056647999999,2
MAP2K2,ENSP00000262948,MP2K2_HUMAN,foretinib,7.886056647999999,2
MUSK,ENSP00000363571,MUSK_HUMAN,foretinib,7.886056647999999,2
FGFR3,ENSP00000339824,FGFR3_HUMAN,cediranib,7.884822822,2
PRKG2,ENSP00000264399,KGP2_HUMAN,staurosporine,7.882786789,2
DDR1,ENSP00000427552,DDR1_HUMAN,sorafenib,7.878847227,2
PRKACA,ENSP00000309591,KAPCA_HUMAN,staurosporine,7.875719357,2
ABL1,ENSP00000361423,ABL1_HUMAN,nilotinib,7.87414414,2
FES,ENSP00000331504,FES_HUMAN,staurosporine,7.869619651,2
STK17A,ENSP00000319192,ST17A_HUMAN,sunitinib,7.869249052000001,2
CHEK2,ENSP00000372023,CHK2_HUMAN,staurosporine,7.8668321,2
TNK2,ENSP00000371341,ACK1_HUMAN,staurosporine,7.861720757,2
AXL,ENSP00000301178,UFO_HUMAN,sunitinib,7.860557738,2
PDGFRA,ENSP00000257290,PGFRA_HUMAN,staurosporine,7.859828912999999,2
LRRK2,ENSP00000298910,LRRK2_HUMAN,staurosporine,7.855535455,2
ROS1,ENSP00000357494,ROS1_HUMAN,foretinib,7.853871964,2
PTK2B,ENSP00000380638,FAK2_HUMAN,foretinib,7.853871964,2
STK17A,ENSP00000319192,ST17A_HUMAN,staurosporine,7.851174454,2
ERBB4,ENSP00000342235,ERBB4_HUMAN,bosutinib,7.847051827,2
PNCK,ENSP00000405950,KCC1B_HUMAN,staurosporine,7.846628788999999,2
KIT,ENSP00000288135,KIT_HUMAN,barasertib,7.846222547999999,2
FRK,ENSP00000476145,FRK_HUMAN,tivozanib,7.844880784,2
PTK6,ENSP00000442460,PTK6_HUMAN,tivozanib,7.844880784,2
NTRK1,ENSP00000431418,NTRK1_HUMAN,tivozanib,7.844880784,2
LYN,ENSP00000428924,LYN_HUMAN,tivozanib,7.844880784,2
DDR1,ENSP00000427552,DDR1_HUMAN,cediranib,7.8395730010000015,2
PLK4,ENSP00000270861,PLK4_HUMAN,axitinib,7.839317136,2
NTRK3,ENSP00000354207,NTRK3_HUMAN,tivozanib,7.838631997999999,2
RET,ENSP00000347942,RET_HUMAN,staurosporine,7.83820618,2
AKT1,ENSP00000451828,AKT1_HUMAN,staurosporine,7.828390858,2
FLT4,ENSP00000261937,VGFR3_HUMAN,staurosporine,7.828323062000001,2
AURKA,ENSP00000216911,AURKA_HUMAN,staurosporine,7.825367702,2
MAP4K1,ENSP00000465039,M4K1_HUMAN,bosutinib,7.823908741,2
MYLK3,ENSP00000378288,MYLK3_HUMAN,tozasertib,7.823908741,2
HCK,ENSP00000444986,HCK_HUMAN,foretinib,7.823908741,2
MYLK4,ENSP00000274643,MYLK4_HUMAN,sunitinib,7.823908741,2
KIT,ENSP00000288135,KIT_HUMAN,vemurafenib,7.82325681,2
MAP2K5,ENSP00000178640,MP2K5_HUMAN,vemurafenib,7.82325681,2
BMPR1A,ENSP00000361107,BMR1A_HUMAN,crizotinib,7.82325681,2
PDGFRB,ENSP00000261799,PGFRB_HUMAN,vemurafenib,7.82325681,2
KDR,ENSP00000263923,VGFR2_HUMAN,brivanib,7.82148424,2
LTK,ENSP00000263800,LTK_HUMAN,staurosporine,7.820407253,2
FER,ENSP00000281092,FER_HUMAN,staurosporine,7.819895532999999,2
AURKB,ENSP00000313950,AURKB_HUMAN,axitinib,7.806501343,2
PDGFRA,ENSP00000257290,PGFRA_HUMAN,sorafenib,7.8036664889999985,2
BLK,ENSP00000259089,BLK_HUMAN,staurosporine,7.796650228,2
MAP4K1,ENSP00000465039,M4K1_HUMAN,sunitinib,7.795880017000001,2
ICK,ENSP00000349458,ICK_HUMAN,staurosporine,7.795880017000001,2
MAP3K13,ENSP00000265026,M3K13_HUMAN,foretinib,7.795880017000001,2
LCK,ENSP00000337825,LCK_HUMAN,staurosporine,7.7918806960000015,2
CLK4,ENSP00000316948,CLK4_HUMAN,staurosporine,7.785895596,2
MAP4K5,ENSP00000013125,M4K5_HUMAN,staurosporine,7.783698574,2
FLT4,ENSP00000261937,VGFR3_HUMAN,axitinib,7.777867047000001,2
MAP4K1,ENSP00000465039,M4K1_HUMAN,staurosporine,7.77269658,2
CDC42BPA,ENSP00000355731,MRCKA_HUMAN,staurosporine,7.771256717999999,2
STK24,ENSP00000365730,STK24_HUMAN,staurosporine,7.7710781,2
LATS2,ENSP00000372035,LATS2_HUMAN,staurosporine,7.769551079,2
DCLK2,ENSP00000303887,DCLK2_HUMAN,staurosporine,7.769551079,2
AURKB,ENSP00000313950,AURKB_HUMAN,tozasertib,7.767397227000001,2
DDR2,ENSP00000356899,DDR2_HUMAN,nilotinib,7.763926487999999,2
FLT4,ENSP00000261937,VGFR3_HUMAN,linifanib,7.76357668,2
MAP3K10,ENSP00000253055,M3K10_HUMAN,staurosporine,7.760131147,2
MAP2K6,ENSP00000468348,MP2K6_HUMAN,staurosporine,7.756800005,2
ABL1,ENSP00000361423,ABL1_HUMAN,foretinib,7.751811973,2
RIPK2,ENSP00000220751,RIPK2_HUMAN,vandetanib,7.749903062,2
RET,ENSP00000347942,RET_HUMAN,tozasertib,7.748742591,2
PHKG1,ENSP00000445440,PHKG1_HUMAN,sunitinib,7.746726309,2
SRMS,ENSP00000217188,SRMS_HUMAN,foretinib,7.744727495,2
